date,cci
1/1/1960,101.6328
2/1/1960,101.3749
3/1/1960,101.1521
4/1/1960,101.0292
5/1/1960,101.0603
6/1/1960,101.1481
7/1/1960,101.1666
8/1/1960,101.0264
9/1/1960,100.8089
10/1/1960,100.6283
11/1/1960,100.5697
12/1/1960,100.5908
1/1/1961,100.6394
2/1/1961,100.6912
3/1/1961,100.7601
4/1/1961,100.882
5/1/1961,101.0809
6/1/1961,101.2828
7/1/1961,101.3798
8/1/1961,101.2913
9/1/1961,101.1308
10/1/1961,101.0503
11/1/1961,101.1574
12/1/1961,101.3521
1/1/1962,101.4912
2/1/1962,101.4639
3/1/1962,101.3246
4/1/1962,101.1431
5/1/1962,100.9669
6/1/1962,100.8264
7/1/1962,100.7613
8/1/1962,100.8116
9/1/1962,100.934
10/1/1962,101.0849
11/1/1962,101.2314
12/1/1962,101.3343
1/1/1963,101.3353
2/1/1963,101.1873
3/1/1963,100.9873
4/1/1963,100.8609
5/1/1963,100.8994
6/1/1963,101.0223
7/1/1963,101.124
8/1/1963,101.1356
9/1/1963,101.1075
10/1/1963,101.1198
11/1/1963,101.231
12/1/1963,101.3881
1/1/1964,101.5147
2/1/1964,101.5552
3/1/1964,101.5483
4/1/1964,101.5471
5/1/1964,101.5869
6/1/1964,101.6468
7/1/1964,101.6927
8/1/1964,101.6996
9/1/1964,101.6886
10/1/1964,101.6924
11/1/1964,101.7387
12/1/1964,101.819
1/1/1965,101.9246
2/1/1965,102.0492
3/1/1965,102.1655
4/1/1965,102.2342
5/1/1965,102.2217
6/1/1965,102.1644
7/1/1965,102.103
8/1/1965,102.0611
9/1/1965,102.0279
10/1/1965,101.9807
11/1/1965,101.8983
12/1/1965,101.7886
1/1/1966,101.657
2/1/1966,101.5022
3/1/1966,101.3339
4/1/1966,101.1585
5/1/1966,100.9787
6/1/1966,100.7995
7/1/1966,100.6314
8/1/1966,100.4926
9/1/1966,100.4007
10/1/1966,100.3971
11/1/1966,100.5253
12/1/1966,100.7201
1/1/1967,100.9079
2/1/1967,101.0392
3/1/1967,101.1291
4/1/1967,101.1964
5/1/1967,101.2449
6/1/1967,101.2663
7/1/1967,101.2357
8/1/1967,101.1324
9/1/1967,101.0146
10/1/1967,100.9611
11/1/1967,101.0284
12/1/1967,101.1427
1/1/1968,101.2016
2/1/1968,101.129
3/1/1968,100.9851
4/1/1968,100.8503
5/1/1968,100.7804
6/1/1968,100.753
7/1/1968,100.7374
8/1/1968,100.7217
9/1/1968,100.7289
10/1/1968,100.8045
11/1/1968,100.9821
12/1/1968,101.1802
1/1/1969,101.2801
2/1/1969,101.1833
3/1/1969,100.9668
4/1/1969,100.7167
5/1/1969,100.4815
6/1/1969,100.2591
7/1/1969,100.031
8/1/1969,99.78498
9/1/1969,99.54243
10/1/1969,99.34116
11/1/1969,99.21465
12/1/1969,99.13007
1/1/1970,99.0519
2/1/1970,98.96368
3/1/1970,98.88327
4/1/1970,98.84496
5/1/1970,98.87383
6/1/1970,98.91792
7/1/1970,98.9058
8/1/1970,98.78902
9/1/1970,98.64056
10/1/1970,98.56737
11/1/1970,98.65442
12/1/1970,98.83361
1/1/1971,99.0207
2/1/1971,99.16006
3/1/1971,99.2616
4/1/1971,99.34393
5/1/1971,99.41532
6/1/1971,99.47388
7/1/1971,99.51089
8/1/1971,99.52679
9/1/1971,99.56897
10/1/1971,99.7118
11/1/1971,100.0106
12/1/1971,100.355
