date,gdp
1/1/1947,2182.681
4/1/1947,2176.892
7/1/1947,2172.432
10/1/1947,2206.452
1/1/1948,2239.682
4/1/1948,2276.69
7/1/1948,2289.77
10/1/1948,2292.364
1/1/1949,2260.807
4/1/1949,2253.128
7/1/1949,2276.424
10/1/1949,2257.352
1/1/1950,2346.104
4/1/1950,2417.682
7/1/1950,2511.127
10/1/1950,2559.214
1/1/1951,2593.967
4/1/1951,2638.898
7/1/1951,2693.259
10/1/1951,2699.156
1/1/1952,2727.954
4/1/1952,2733.8
7/1/1952,2753.517
10/1/1952,2843.941
1/1/1953,2896.811
4/1/1953,2919.206
7/1/1953,2902.785
10/1/1953,2858.845
1/1/1954,2845.192
4/1/1954,2848.305
7/1/1954,2880.482
10/1/1954,2936.852
1/1/1955,3020.746
4/1/1955,3069.91
7/1/1955,3111.379
10/1/1955,3130.068
1/1/1956,3117.922
4/1/1956,3143.694
7/1/1956,3140.874
10/1/1956,3192.57
1/1/1957,3213.011
4/1/1957,3205.97
7/1/1957,3237.386
10/1/1957,3203.894
1/1/1958,3120.724
4/1/1958,3141.224
7/1/1958,3213.884
10/1/1958,3289.032
1/1/1959,3352.129
4/1/1959,3427.667
7/1/1959,3430.057
10/1/1959,3439.832
1/1/1960,3517.181
4/1/1960,3498.246
7/1/1960,3515.385
10/1/1960,3470.278
1/1/1961,3493.703
4/1/1961,3553.021
7/1/1961,3621.252
10/1/1961,3692.289
1/1/1962,3758.147
4/1/1962,3792.149
7/1/1962,3838.776
10/1/1962,3851.421
1/1/1963,3893.482
4/1/1963,3937.183
7/1/1963,4023.755
10/1/1963,4050.147
1/1/1964,4135.553
4/1/1964,4180.592
7/1/1964,4245.918
10/1/1964,4259.046
1/1/1965,4362.111
4/1/1965,4417.225
7/1/1965,4515.427
10/1/1965,4619.458
1/1/1966,4731.888
4/1/1966,4748.046
7/1/1966,4788.254
10/1/1966,4827.537
1/1/1967,4870.299
4/1/1967,4873.287
7/1/1967,4919.392
10/1/1967,4956.477
1/1/1968,5057.553
4/1/1968,5142.033
7/1/1968,5181.859
10/1/1968,5202.212
1/1/1969,5283.597
4/1/1969,5299.625
7/1/1969,5334.6
10/1/1969,5308.556
1/1/1970,5300.652
4/1/1970,5308.164
7/1/1970,5357.077
10/1/1970,5299.672
1/1/1971,5443.619
4/1/1971,5473.059
7/1/1971,5518.072
10/1/1971,5531.032
1/1/1972,5632.649
4/1/1972,5760.47
7/1/1972,5814.854
10/1/1972,5912.22
1/1/1973,6058.544
4/1/1973,6124.506
7/1/1973,6092.301
10/1/1973,6150.131
1/1/1974,6097.258
4/1/1974,6111.751
7/1/1974,6053.978
10/1/1974,6030.464
1/1/1975,5957.035
4/1/1975,5999.61
7/1/1975,6102.326
10/1/1975,6184.53
1/1/1976,6323.649
4/1/1976,6370.025
7/1/1976,6404.895
10/1/1976,6451.177
1/1/1977,6527.703
4/1/1977,6654.466
7/1/1977,6774.457
10/1/1977,6774.592
1/1/1978,6796.26
4/1/1978,7058.92
7/1/1978,7129.915
10/1/1978,7225.75
1/1/1979,7238.727
4/1/1979,7246.454
7/1/1979,7300.281
10/1/1979,7318.535
1/1/1980,7341.557
4/1/1980,7190.289
7/1/1980,7181.743
10/1/1980,7315.677
1/1/1981,7459.022
4/1/1981,7403.745
7/1/1981,7492.405
10/1/1981,7410.768
1/1/1982,7295.631
4/1/1982,7328.912
7/1/1982,7300.896
10/1/1982,7303.817
1/1/1983,7400.066
4/1/1983,7568.456
7/1/1983,7719.746
10/1/1983,7880.794
1/1/1984,8034.847
4/1/1984,8173.67
7/1/1984,8252.465
10/1/1984,8320.199
1/1/1985,8400.82
4/1/1985,8474.787
7/1/1985,8604.22
10/1/1985,8668.188
1/1/1986,8749.127
4/1/1986,8788.524
7/1/1986,8872.601
10/1/1986,8920.193
1/1/1987,8986.367
4/1/1987,9083.256
7/1/1987,9162.024
10/1/1987,9319.332
1/1/1988,9367.502
4/1/1988,9490.594
7/1/1988,9546.206
10/1/1988,9673.405
1/1/1989,9771.725
4/1/1989,9846.293
7/1/1989,9919.228
10/1/1989,9938.767
1/1/1990,10047.386
4/1/1990,10083.855
7/1/1990,10090.569
10/1/1990,9998.704
1/1/1991,9951.916
4/1/1991,10029.51
7/1/1991,10080.195
10/1/1991,10115.329
1/1/1992,10236.435
4/1/1992,10347.429
7/1/1992,10449.673
10/1/1992,10558.648
1/1/1993,10576.275
4/1/1993,10637.847
7/1/1993,10688.606
10/1/1993,10833.987
1/1/1994,10939.116
4/1/1994,11087.361
7/1/1994,11152.176
10/1/1994,11279.932
1/1/1995,11319.951
4/1/1995,11353.721
7/1/1995,11450.31
10/1/1995,11528.067
1/1/1996,11614.418
4/1/1996,11808.14
7/1/1996,11914.063
10/1/1996,12037.775
1/1/1997,12115.472
4/1/1997,12317.221
7/1/1997,12471.01
10/1/1997,12577.495
1/1/1998,12703.742
4/1/1998,12821.339
7/1/1998,12982.752
10/1/1998,13191.67
1/1/1999,13315.597
4/1/1999,13426.748
7/1/1999,13604.771
10/1/1999,13827.98
1/1/2000,13878.147
4/1/2000,14130.908
7/1/2000,14145.312
10/1/2000,14229.765
1/1/2001,14183.12
4/1/2001,14271.694
7/1/2001,14214.516
10/1/2001,14253.574
1/1/2002,14372.785
4/1/2002,14460.848
7/1/2002,14519.633
10/1/2002,14537.58
1/1/2003,14614.141
4/1/2003,14743.567
7/1/2003,14988.782
10/1/2003,15162.76
1/1/2004,15248.68
4/1/2004,15366.85
7/1/2004,15512.619
10/1/2004,15670.88
1/1/2005,15844.727
4/1/2005,15922.782
7/1/2005,16047.587
10/1/2005,16136.734
1/1/2006,16353.835
4/1/2006,16396.151
7/1/2006,16420.738
10/1/2006,16561.866
1/1/2007,16611.69
4/1/2007,16713.314
7/1/2007,16809.587
10/1/2007,16915.191
1/1/2008,16843.003
4/1/2008,16943.291
7/1/2008,16854.295
10/1/2008,16485.35
1/1/2009,16298.262
4/1/2009,16269.145
7/1/2009,16326.281
10/1/2009,16502.754
1/1/2010,16582.71
4/1/2010,16743.162
7/1/2010,16872.266
10/1/2010,16960.864
1/1/2011,16920.632
4/1/2011,17035.114
7/1/2011,17031.313
10/1/2011,17222.583
1/1/2012,17367.01
4/1/2012,17444.525
7/1/2012,17469.65
10/1/2012,17489.852
1/1/2013,17662.4
4/1/2013,17709.671
7/1/2013,17860.45
10/1/2013,18016.147
1/1/2014,17953.974
4/1/2014,18185.911
7/1/2014,18406.941
10/1/2014,18500.031
1/1/2015,18666.621
4/1/2015,18782.243
7/1/2015,18857.418
10/1/2015,18892.206
1/1/2016,19001.69
4/1/2016,19062.709
7/1/2016,19197.938
10/1/2016,19304.352
1/1/2017,19398.343
4/1/2017,19506.949
7/1/2017,19660.766
10/1/2017,19882.352
1/1/2018,20044.077
4/1/2018,20150.476
7/1/2018,20276.154
10/1/2018,20304.874
1/1/2019,20431.641
4/1/2019,20602.275
7/1/2019,20843.322
10/1/2019,20985.448
1/1/2020,20693.238
4/1/2020,19056.617
7/1/2020,20548.793
10/1/2020,20771.691
1/1/2021,21058.379
4/1/2021,21389.005
7/1/2021,21571.421
10/1/2021,21960.388
1/1/2022,21903.85
4/1/2022,21919.222
7/1/2022,22066.784
10/1/2022,22249.459
1/1/2023,22403.435
4/1/2023,22539.418
7/1/2023,22780.933
10/1/2023,22960.6
1/1/2024,23053.545
4/1/2024,23223.906
7/1/2024,23400.294
